filename,url,Dust and Haze,Floods,Manmade,Sea and Lake Ice,Severe Storms,Snow,Temperature Extremes,Volcanoes,Water Color,Wildfires
0,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92824/trami_amo_2018271.jpg,0,0,0,0,1,0,0,0,0,0
1,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92817/arctic_ssi_2018262_th.png,0,0,0,0,1,0,0,0,0,0
2,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92821/iss055e070602_th.jpg,0,0,0,0,1,0,0,0,0,0
3,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92573/typhshanshan_viirs_2018219_th.jpg,0,0,0,0,1,0,0,0,0,0
4,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92628/Soulik_tmo_2018232_tn.jpg,0,0,0,0,1,0,0,0,0,0
5,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92811/Trami_viirs_2018267_tn.jpg,0,0,0,0,1,0,0,0,0,0
6,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92824/trami_amo_2018271_th.jpg,0,0,0,0,1,0,0,0,0,0
7,https://eoimages.gsfc.nasa.gov/images/imagerecords/52000/52224/Roke_amo_2011263_tn.jpg,0,0,0,0,1,0,0,0,0,0
8,https://eoimages.gsfc.nasa.gov/images/imagerecords/18000/18973/fitow_amo_2007249_tn.jpg,0,0,0,0,1,0,0,0,0,0
9,https://eoimages.gsfc.nasa.gov/images/imagerecords/84000/84525/Vongfong_amo_2014282_tn.jpg,0,0,0,0,1,0,0,0,0,0
10,https://eoimages.gsfc.nasa.gov/images/imagerecords/7000/7869/manyi_tmo_2007194_tn.jpg,0,0,0,0,1,0,0,0,0,0
11,https://eoimages.gsfc.nasa.gov/images/imagerecords/78000/78309/guchol_amo_2012171_tn.jpg,0,0,0,0,1,0,0,0,0,0
12,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92800/utahfire_amo_2018262.jpg,0,0,0,0,0,0,0,0,0,1
13,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
14,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92373/california_vir_2018182_th.jpg,0,0,0,0,0,0,0,0,0,1
15,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92514/perry_oli_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
16,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92517/californiafires_amo_tmo_2018209_2018210_th.jpg,0,0,0,0,0,0,0,0,0,1
17,https://eoimages.gsfc.nasa.gov/images/imagerecords/5000/5617/Arizona.A2005174.1850_tn.jpg,0,0,0,0,0,0,0,0,0,1
18,https://eoimages.gsfc.nasa.gov/images/imagerecords/50000/50952/Arizona_tmo_2011160_tn.jpg,0,0,0,0,0,0,0,0,0,1
19,https://eoimages.gsfc.nasa.gov/images/imagerecords/18000/18744/Idaho_amo_tmo_2007200_tn.jpg,0,0,0,0,0,0,0,0,0,1
20,https://eoimages.gsfc.nasa.gov/images/imagerecords/15000/15054/Arizona.AMOA2005179_tn.jpg,0,0,0,0,0,0,0,0,0,1
21,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92343/pawnee_oli_2018175_th.jpg,0,0,0,0,0,0,0,0,0,1
22,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92780/mangkhut_2018260_th.jpg,0,0,0,0,1,0,0,0,0,0
23,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92761/typhoonmangkhut_viirs_2018257_th.jpg,0,0,0,0,1,0,0,0,0,0
24,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92749/typhoonmangkhut_viirs_2018256_th.jpg,0,0,0,0,1,0,0,0,0,0
25,https://eoimages.gsfc.nasa.gov/images/imagerecords/92000/92741/typhoonmangkhut_viirs_2018255_th.jpg,0,0,0,0,1,0,0,0,0,0
26,https://disasters.nasa.gov/sites/disasters.nasa.gov/files/styles/image_center/public/disaster-images/typhoonmangkhut_viirs_2018257_lrg.jpg?itok=Flx7N_-Y,0,0,0,0,1,0,0,0,0,0
27,https://disasters.nasa.gov/sites/disasters.nasa.gov/files/styles/image_center/public/disaster-images/typhoonmangkhutbright_viirs_2018257_lrg.jpg?itok=jv_0790j,0,0,0,0,1,0,0,0,0,0
