"title","description","link","events__id","events__title","events__description","events__link","events__closed","events__categories__id","events__categories__title","events__sources__id","events__sources__url","events__geometries__date","events__geometries__type","events__geometries__coordinates____001","events__geometries__coordinates____002","events__geometries__coordinates"
"EONET Events","Natural events from EONET.","https://eonet.sci.gsfc.nasa.gov/api/v2/events","EONET_3971","Super Typhoon Trami","","https://eonet.sci.gsfc.nasa.gov/api/v2/events/EONET_3971","2018-10-02T00:00:00Z","10","Severe Storms","EO","https://earthobservatory.nasa.gov/images/92824/typhoon-trami-takes-aim-at-japan","2018-09-19T12:00:00Z","Point","","","148.0"
"","","","","","","","","","","GDACS","http://www.gdacs.org/report.aspx?eventtype=TC&eventid=1000507","","","","","12.6"
"","","","","","","","","","","JTWC","http://www.metoc.navy.mil/jtwc/products/wp2818.tcw","2018-09-19T18:00:00Z","Point","","","147.4"
"","","","","","","","","","","","","","","","","12.7"
"","","","","","","","","","","","","2018-09-20T00:00:00Z","Point","","","146.8"
"","","","","","","","","","","","","","","","","12.8"
"","","","","","","","","","","","","2018-09-20T06:00:00Z","Point","","","146.2"
"","","","","","","","","","","","","","","","","12.9"
"","","","","","","","","","","","","2018-09-20T12:00:00Z","Point","","","145.6"
"","","","","","","","","","","","","","","","","13.2"
"","","","","","","","","","","","","2018-09-20T18:00:00Z","Point","","","145.1"
"","","","","","","","","","","","","","","","","13.8"
"","","","","","","","","","","","","2018-09-21T00:00:00Z","Point","","","144.2"
"","","","","","","","","","","","","","","","","14.5"
"","","","","","","","","","","","","2018-09-21T06:00:00Z","Point","","","143.4"
"","","","","","","","","","","","","","","","","15.1"
"","","","","","","","","","","","","2018-09-21T12:00:00Z","Point","","","142.5"
"","","","","","","","","","","","","","","","","15.6"
"","","","","","","","","","","","","2018-09-21T18:00:00Z","Point","","","141.3"
"","","","","","","","","","","","","","","","","16"
"","","","","","","","","","","","","2018-09-22T00:00:00Z","Point","","","140.2"
"","","","","","","","","","","","","","","","","16.2"
"","","","","","","","","","","","","2018-09-22T06:00:00Z","Point","","","138.9"
"","","","","","","","","","","","","","","","","16.7"
"","","","","","","","","","","","","2018-09-22T12:00:00Z","Point","","","137.5"
"","","","","","","","","","","","","","","","","16.9"
"","","","","","","","","","","","","2018-09-22T18:00:00Z","Point","","","136.1"
"","","","","","","","","","","","","","","","","16.9"
"","","","","","","","","","","","","2018-09-23T00:00:00Z","Point","","","135.2"
"","","","","","","","","","","","","","","","","16.9"
"","","","","","","","","","","","","2018-09-23T06:00:00Z","Point","","","134.3"
"","","","","","","","","","","","","","","","","17.3"
"","","","","","","","","","","","","2018-09-23T12:00:00Z","Point","","","133.2"
"","","","","","","","","","","","","","","","","17.5"
"","","","","","","","","","","","","2018-09-23T18:00:00Z","Point","","","132.1"
"","","","","","","","","","","","","","","","","18"
"","","","","","","","","","","","","2018-09-24T00:00:00Z","Point","","","131.1"
"","","","","","","","","","","","","","","","","18.4"
"","","","","","","","","","","","","2018-09-24T06:00:00Z","Point","","","130.4"
"","","","","","","","","","","","","","","","","18.9"
"","","","","","","","","","","","","2018-09-24T12:00:00Z","Point","","","129.7"
"","","","","","","","","","","","","","","","","19.3"
"","","","","","","","","","","","","2018-09-24T18:00:00Z","Point","","","129"
"","","","","","","","","","","","","","","","","19.6"
"","","","","","","","","","","","","2018-09-25T00:00:00Z","Point","","","128.7"
"","","","","","","","","","","","","","","","","19.5"
"","","","","","","","","","","","","2018-09-25T06:00:00Z","Point","","","128.9"
"","","","","","","","","","","","","","","","","19.9"
"","","","","","","","","","","","","2018-09-25T12:00:00Z","Point","","","128.9"
"","","","","","","","","","","","","","","","","20"
"","","","","","","","","","","","","2018-09-25T18:00:00Z","Point","","","128.9"
"","","","","","","","","","","","","","","","","20.3"
"","","","","","","","","","","","","2018-09-26T00:00:00Z","Point","","","129"
"","","","","","","","","","","","","","","","","20.7"
"","","","","","","","","","","","","2018-09-26T06:00:00Z","Point","","","129.2"
"","","","","","","","","","","","","","","","","21"
"","","","","","","","","","","","","2018-09-26T12:00:00Z","Point","","","129.2"
"","","","","","","","","","","","","","","","","21.3"
"","","","","","","","","","","","","2018-09-26T18:00:00Z","Point","","","129.2"
"","","","","","","","","","","","","","","","","21.4"
"","","","","","","","","","","","","2018-09-27T00:00:00Z","Point","","","129.1"
"","","","","","","","","","","","","","","","","21.6"
"","","","","","","","","","","","","2018-09-27T06:00:00Z","Point","","","129.2"
"","","","","","","","","","","","","","","","","21.7"
"","","","","","","","","","","","","2018-09-27T12:00:00Z","Point","","","128.8"
"","","","","","","","","","","","","","","","","22"
"","","","","","","","","","","","","2018-09-27T18:00:00Z","Point","","","128.4"
"","","","","","","","","","","","","","","","","22.3"
"","","","","","","","","","","","","2018-09-28T00:00:00Z","Point","","","127.9"
"","","","","","","","","","","","","","","","","22.6"
"","","","","","","","","","","","","2018-09-28T06:00:00Z","Point","","","127.4"
"","","","","","","","","","","","","","","","","23.1"
"","","","","","","","","","","","","2018-09-28T12:00:00Z","Point","","","127"
"","","","","","","","","","","","","","","","","23.8"
"","","","","","","","","","","","","2018-09-28T18:00:00Z","Point","","","126.8"
"","","","","","","","","","","","","","","","","24.6"
"","","","","","","","","","","","","2018-09-29T00:00:00Z","Point","","","127.0"
"","","","","","","","","","","","","","","","","25.4"
"","","","","","","","","","","","","2018-09-30T00:00:00Z","Point","","","131.0"
"","","","","","","","","","","","","","","","","30.6"
"","","","","","","","","","","","","2018-09-30T12:00:00Z","Point","","","136.0"
"","","","","","","","","","","","","","","","","34.2"
"","","","EONET_3956","Pole Creek Fire","","https://eonet.sci.gsfc.nasa.gov/api/v2/events/EONET_3956","2018-10-18T00:00:00Z","8","Wildfires","EO","https://earthobservatory.nasa.gov/images/92800/fires-ablaze-in-northeastern-utah","2018-09-06T00:00:00Z","Point","","","-111.661"
